snp-dists 0.8.2	ERR12861620	ERR3524767	ERR4022294	ERR12861515	ERR12861619	23IE200_S39_L001	23IE167_S6_L001	23IE195_S34_L001	ERR12861633	ERR3524774	ERR12861582	ERR3337544	ERR12861624	ERR12861595	ERR3468923	ERR3468864	ERR12861441	ERR3337527	22IE192b_S8_L001	22IE243_S11_L001	ERR4022309	ERR12861572	ERR4022330	ERR6057651	ERR12861669	22IE83_L001	23IE168_S7_L001	ERR12861643	ERR3337601	ERR12861561	ERR3468814	ERR4022334	ERR6057642	23IE193_S32_L001	23IE179_S18_L001	23IE171_S10_L001	ERR12861548	ERR3468880	ERR12861436	ERR4022333	ERR3566339	ERR3468884	ERR4022430	23IE187_S26_L001	ERR12861657	23IE198_S37_L001	ERR3566300	ERR4022320	22IE327_S2_L001	ERR3468817	ERR3566317	ERR12861634	23IE181_S20_L001	ERR3337543	23IE189_S28_L001	23IE202_S41_L001	ERR3566299	ERR3468924	ERR3337480	ERR3524829	ERR6057622	ERR12861894	ERR12861516	23IE177_S16_L001	ERR12861630	ERR12861581	ERR3524777	ERR2988413	ERR2988387	ERR3566237	ERR3337493	ERR12861512	ERR4022350	ERR3337484	ERR12861505	ERR2988437	23IE174_S13_L001	ERR3468913	23IE170_S9_L001	ERR12861603	ERR12861448	ERR2988424	ERR12861629	ERR12861525	ERR3566347	ERR3468869	ERR12861610	ERR12861607	ERR3566274	ERR4022304	ERR3468899	ERR12861551	ERR12861546	23IE169_S8_L001	23IE184_S23_L001	ERR12861907	23IE190_S29_L001	ERR12861568	ERR12861438	ERR12861664	ERR12861673	ERR12861492	ERR4022397	ERR4022403	23IE192_S31_L001	ERR3566337	ERR3337584	ERR12861555	ERR4022429	ERR3337469	ERR12861659	23IE162_S1_L001	ERR12861677	ERR12861660	ERR12861649	ERR3337583	ERR6057648	ERR12861670	ERR12861491	ERR12861486	ERR12861904	ERR4022417	ERR12861556	23IE205_S44_L001	23IE186_S25_L001	ERR4022413	ERR12861663	ERR12861482	ERR12861674	ERR12861495	ERR3566357	ERR2988423	ERR4022377	ERR12861472	ERR12861535	ERR12861684	ERR3337559	ERR3566340	23IE203_S42_L001	ERR12861617	ERR4022364	ERR3566353	ERR3337423	23IE176_S15_L001	ERR12861579	ERR12861494	ERR12861662	ERR4022412	ERR2988441	ERR3566322	23IE191_S30_L001	ERR12861557	23IE199_S38_L001	ERR12861487	ERR12861671	ERR4022306	ERR3468976	ERR3468826	23IE178_S17_L001	23IE204_S43_L001	ERR3337595	ERR12861544	ERR3337478	ERR3468986	ERR12861612	ERR3337422	ERR12861605	ERR12861509	ERR3524821	ERR4339043	ERR3566352	ERR4339054	ERR12861681	ERR4022288	ERR3468878	ERR3468928	ERR12861589	ERR3337654	ERR12861685	23IE188_S27_L001	ERR3566356	ERR12861473	ERR3468906	23IE197_S36_L001	ERR6057683	23IE175_S14_L001	ERR3337566	ERR12861611	ERR4022366	ERR12861533	ERR12861682	ERR3468916	23IE166_S5_L001	ERR3566296	23IE183_S22_L001	ERR12861602	ERR12861470	ERR3524808	ERR2988421	ERR3337657	23IE185_S24_L001	ERR12861497	23IE206_S45_L001	ERR12861658	ERR3337592	23IE173_S12_L001	ERR12861672	ERR3337442	ERR12861493	ERR12861665	ERR4022415	ERR12861569	ERR3468832	ERR12861547	ERR2988378	ERR3468825	ERR12861550	ERR3468898	ERR12861499	ERR12861678	ERR3337448	ERR3468951	ERR3468955	ERR12861437	ERR2988361	ERR3566396	ERR12861454	ERR2988386	ERR4022346	ERR12861513	ERR12861631	ERR3337401	ERR3337551	ERR6057609	ERR12861580	ERR4022285	ERR3337416	ERR3337496	23IE196_S35_L001	ERR12861517	ERR2988416	ERR3566298	ERR4022355	ERR12861500	ERR12861593	ERR4022296	ERR12861635	ERR3337555	ERR12861584	ERR3337491	ERR12861510	ERR6057624	ERR3566288	ERR2988406	ERR12861457	ERR3337667	ERR3337415	ERR4022291	ERR3337649	23IE194_S33_L001	ERR3337482	ERR3468926	ERR12861503	ERR3337495	ERR3468931	ERR12861514	ERR12861636	23IE201_S40_L001	23IE182_S21_L001	ERR12861621	ERR3524766	23IE163_S2_L001	ERR3524848	ERR12861560	23IE207_S46_L001	23IE164_S3_L001	ERR3566386	23IE180_S19_L001	ERR12861559	ERR3468891	ERR6057647	ERR3337613	ERR12861573	ERR3468956	ERR3468806	23IE165_S4_L001	23IE172_S11_L001
ERR12861617	86	97	97	98	96	93	99	87	86	97	98	90	86	86	90	90	91	99	98	79	89	0	97	88	77	98	93	96	81	98	97	97	90	87	76	60	96	81	71	89	94	89	97	99	82	59	97	81	87	68	88	86	87	94	99	88	94	88	81	82	88	90	79	80	86	101	97	97	89	89	81	79	81	86	79	97	76	97	20	96	60	81	98	79	88	91	96	96	68	97	97	91	75	85	90	90	99	0	92	98	71	79	99	90	88	90	88	91	97	94	94	99	79	89	86	88	94	82	96	79	90	87	98	83	98	97	89	79	91	102	88	96	81	101	98	77	94	90	49	0	94	88	81	99	101	79	89	99	99	90	83	96	99	77	99	89	99	99	83	102	97	101	81	97	86	97	86	79	83	97	97	90	77	99	68	97	96	99	77	83	71	79	97	79	94	99	81	98	81	96	96	88	93	97	88	86	92	97	97	97	90	79	99	79	81	87	99	89	96	98	68	96	88	101	99	88	75	97	79	79	97	90	94	93	97	90	136	97	81	96	0	81	97	68	0	87	99	81	83	82	81	97	81	79	94	97	94	97	96	81	98	88	94	89	0	97	97	92	97	91	81	97	98	81	97	98	89	87	87	75	97	94	94	0	83	89	90	20	99	97	94	99	98	97	97	89	98
ERR4022364	61	27	35	64	38	74	72	82	61	27	64	104	61	61	91	91	53	33	75	117	88	94	27	82	76	75	28	38	66	64	26	27	91	29	88	0	26	66	93	88	92	103	34	33	81	51	35	66	82	114	83	61	82	0	29	83	0	83	66	80	83	23	88	94	61	33	27	27	103	88	66	88	66	81	88	35	88	35	90	38	28	66	64	88	83	86	38	38	114	27	27	47	77	92	54	23	33	94	50	64	93	88	29	91	83	91	83	47	34	0	54	72	88	88	61	83	0	81	28	88	23	104	64	99	28	34	61	88	53	32	83	26	66	94	64	76	0	91	64	94	0	83	66	72	33	88	61	29	33	91	99	38	29	76	48	103	33	33	99	30	35	33	66	27	61	27	61	88	77	35	34	52	80	29	114	34	38	33	76	97	93	88	27	117	0	29	66	39	66	26	38	83	28	27	83	61	50	35	27	27	54	88	29	88	66	29	48	103	28	64	114	38	83	33	33	83	77	27	88	88	27	91	0	83	27	91	125	27	66	38	94	66	27	114	94	104	33	66	99	81	66	27	66	88	54	27	54	27	38	66	64	83	0	103	94	27	27	91	27	47	66	27	64	66	35	64	47	82	29	77	27	0	0	94	97	22	91	90	48	35	92	33	39	27	27	22	28
ERR3566353	66	96	90	103	95	63	100	13	66	96	103	99	66	66	30	30	70	96	80	96	25	88	96	0	81	80	94	95	89	103	95	96	30	82	93	26	95	89	90	25	33	98	96	98	46	40	90	89	13	85	0	66	14	83	98	0	83	0	89	9	0	80	89	69	66	90	96	96	98	25	89	89	89	0	89	90	93	90	86	95	45	89	103	89	0	31	95	95	85	96	96	90	96	35	71	80	98	88	95	103	90	89	98	30	0	30	0	90	96	83	103	100	89	25	66	0	83	46	95	89	80	81	103	70	97	96	96	89	70	93	0	95	89	31	103	81	83	30	61	88	83	0	89	100	90	89	96	98	96	30	70	95	98	81	93	98	96	96	70	91	90	90	89	96	66	96	66	89	0	90	96	93	83	98	85	96	95	96	81	72	90	89	96	96	83	98	89	89	89	95	95	0	94	96	0	66	95	90	96	96	71	89	98	89	89	82	93	98	95	103	85	95	0	90	96	0	96	96	89	89	96	30	83	100	96	30	65	96	89	95	88	89	96	85	88	81	96	89	70	46	89	96	89	89	103	96	103	96	95	89	103	0	83	98	88	96	96	28	96	90	89	96	103	89	90	103	90	13	82	96	96	83	83	88	72	77	30	86	93	90	33	96	89	96	96	77	97
ERR3337423	83	69	71	76	66	90	102	88	83	69	76	96	83	83	87	95	81	73	85	79	94	81	69	89	60	85	68	66	0	76	68	69	87	63	48	42	70	0	65	94	98	95	70	69	87	59	71	0	88	78	89	83	88	66	69	89	66	89	0	85	89	63	56	87	83	71	69	69	95	94	0	56	0	87	56	71	48	71	75	66	46	0	76	56	89	88	66	66	78	69	69	65	29	92	82	63	69	81	78	76	65	56	69	87	89	87	89	65	70	66	78	102	56	94	83	89	66	87	68	56	63	86	76	83	68	70	77	56	81	72	89	70	0	96	76	60	66	87	44	81	66	89	0	102	71	56	77	69	73	87	83	66	69	60	70	95	73	73	83	70	71	71	0	69	83	69	83	56	82	71	70	60	58	69	78	70	66	73	60	89	65	56	69	79	66	69	0	67	0	70	66	89	68	69	89	83	78	71	69	69	82	56	69	56	0	63	70	95	68	76	78	66	89	71	73	89	29	69	56	56	69	87	66	81	69	87	129	69	0	66	81	0	69	78	81	86	73	0	83	87	0	69	0	56	78	69	78	69	66	0	76	89	66	95	81	69	69	97	69	65	0	69	76	0	71	76	63	88	63	29	69	66	66	81	89	60	87	75	70	71	98	73	67	69	69	60	68
23IE176_S15_L001	81	71	73	94	72	100	0	98	81	71	94	110	81	81	101	103	79	71	97	121	100	99	71	98	97	97	72	72	102	94	70	71	101	70	93	51	70	102	98	100	104	109	76	75	92	72	73	102	98	113	99	81	99	72	73	99	72	99	102	91	99	67	108	102	81	68	71	71	109	100	102	108	102	97	108	73	93	73	104	72	57	102	94	108	99	102	72	72	113	71	71	79	106	107	78	67	75	99	82	94	98	108	73	101	99	101	99	79	76	72	78	0	108	100	81	99	72	92	72	108	67	119	94	109	72	76	87	108	79	73	99	70	102	103	94	97	72	101	72	99	72	100	102	0	68	108	87	73	71	101	109	72	73	97	78	109	71	71	109	72	73	68	102	71	81	71	81	108	94	73	76	80	100	73	113	76	72	71	97	105	98	108	71	121	72	73	102	78	102	70	72	99	72	71	99	81	82	73	71	71	78	108	73	108	102	70	78	109	72	94	113	72	99	68	71	99	106	71	108	108	71	101	72	105	71	101	137	71	102	72	99	102	71	113	99	119	71	102	109	92	102	71	102	108	78	71	78	71	72	102	94	99	72	109	99	71	71	103	71	79	102	71	94	102	73	94	80	98	70	106	71	72	72	99	105	74	101	104	78	73	104	71	78	71	71	74	72
ERR12861579	72	13	17	75	18	87	68	89	72	13	75	108	72	72	98	94	62	18	77	117	93	101	13	89	73	77	27	18	71	75	13	13	98	34	86	24	12	71	89	93	95	107	27	10	92	60	17	71	89	119	90	72	90	33	15	90	33	90	71	85	90	30	81	97	72	0	13	13	107	93	71	81	71	88	81	17	86	17	99	18	35	71	75	81	90	95	18	18	119	13	13	24	80	101	63	30	10	101	53	75	89	81	15	98	90	98	90	24	27	33	55	68	81	93	72	90	33	92	14	81	30	111	75	102	14	27	62	81	62	7	90	12	71	99	75	73	33	98	56	101	33	90	71	68	0	81	62	15	18	98	102	18	15	73	28	107	18	18	102	6	17	0	71	13	72	13	72	81	84	17	27	31	71	15	119	27	18	18	73	100	89	81	13	117	33	15	71	29	71	12	18	90	27	13	90	72	53	17	13	13	63	81	15	81	71	34	28	107	14	75	119	18	90	0	18	90	80	13	81	81	13	98	33	86	13	98	131	13	71	18	101	71	13	119	101	111	18	71	102	92	71	13	71	81	55	13	55	13	18	71	75	90	33	107	101	13	13	96	13	24	71	13	75	71	17	75	37	89	34	80	13	33	33	101	100	33	98	99	28	17	95	18	29	13	13	33	14
ERR12861494	93	84	76	90	75	102	108	94	93	84	90	83	93	93	97	91	91	83	98	68	98	79	84	89	18	98	85	75	56	90	84	84	97	77	55	60	83	56	42	98	92	82	87	83	101	67	76	56	94	48	89	93	94	88	84	89	88	89	56	87	89	85	0	77	93	81	84	84	82	98	56	0	56	87	0	76	55	76	77	75	57	56	90	0	89	98	75	75	48	84	84	69	55	92	94	85	83	79	88	90	42	0	84	97	89	97	89	69	87	88	92	108	0	98	93	89	88	101	83	0	85	90	90	75	83	87	83	0	91	84	89	83	56	99	90	18	88	97	35	79	88	89	56	108	81	0	83	84	83	97	75	75	84	18	81	82	83	83	75	81	76	81	56	84	93	84	93	0	84	76	87	62	10	84	48	87	75	83	18	80	42	0	84	68	88	84	56	63	56	83	75	89	85	84	89	93	88	76	84	84	94	0	84	0	56	77	81	82	83	90	48	75	89	81	83	89	55	84	0	0	84	97	88	83	84	97	132	84	56	75	79	56	84	48	79	90	83	56	75	101	56	84	56	0	92	84	92	84	75	56	90	89	88	82	79	84	84	101	84	69	56	84	90	56	76	90	56	94	77	55	84	88	88	79	79	80	97	77	81	76	92	83	63	84	84	80	83
ERR12861662	82	64	64	54	63	93	87	93	82	64	54	87	82	82	98	92	78	64	84	106	97	89	64	95	75	84	55	63	77	54	64	64	98	56	79	44	63	77	76	97	95	86	57	60	91	65	64	77	93	95	96	82	93	61	66	96	61	96	77	89	96	58	83	89	82	62	64	64	86	97	77	83	77	94	83	64	80	64	91	63	41	77	54	83	96	95	63	63	95	64	64	72	86	103	79	58	60	89	35	54	76	83	66	98	96	98	96	72	57	61	47	87	83	97	82	96	61	91	65	83	58	99	54	94	65	57	0	83	78	65	96	63	77	101	54	75	61	98	58	89	61	96	77	87	62	83	0	66	64	98	94	63	66	75	65	86	64	64	94	64	64	62	77	64	82	64	82	83	89	64	57	77	75	66	95	57	63	64	75	92	76	83	64	106	61	66	77	72	77	63	63	96	55	64	96	82	35	64	64	64	79	83	66	83	77	56	65	86	65	54	95	63	96	62	64	96	86	64	83	83	64	98	61	65	64	98	131	64	77	63	89	77	64	95	89	99	64	77	94	91	77	64	77	83	47	64	47	64	63	77	54	96	61	86	89	64	64	98	64	72	77	64	54	77	64	54	70	93	56	86	64	61	61	89	92	55	98	91	65	64	95	64	72	64	64	55	65
ERR4022412	76	2	14	73	13	87	73	97	76	2	73	109	76	76	106	104	68	22	78	122	101	99	2	96	77	78	25	13	69	73	2	2	106	31	87	24	3	69	90	101	105	108	27	12	91	63	14	69	97	121	97	76	98	29	2	97	29	97	69	92	97	30	84	103	76	15	2	2	108	101	69	84	69	95	84	14	87	14	97	13	41	69	73	84	97	101	13	13	121	2	2	29	78	109	67	30	12	99	53	73	90	84	0	106	97	106	97	29	27	29	53	73	84	101	76	97	29	91	3	84	30	112	73	108	1	27	66	84	68	14	97	3	69	111	73	77	29	106	61	99	29	98	69	73	15	84	66	0	22	106	108	13	2	77	25	108	22	22	108	19	14	15	69	2	76	2	76	84	90	14	27	34	76	0	121	27	13	22	77	106	90	84	2	122	29	2	69	33	69	3	13	97	25	2	97	76	53	14	2	2	67	84	2	84	69	31	25	108	3	73	121	13	97	15	22	97	78	2	84	84	2	106	29	90	2	106	143	2	69	13	99	69	2	121	99	112	22	69	108	91	69	2	69	84	53	2	53	2	13	69	73	97	29	108	99	2	2	104	2	29	69	2	73	69	14	73	34	97	31	78	2	29	29	99	106	31	106	97	25	14	105	22	33	2	2	31	1
ERR2988441	70	20	24	77	23	85	71	93	70	20	77	107	70	70	100	99	64	0	80	118	97	99	20	95	75	80	27	23	73	77	20	20	100	38	85	26	19	73	86	97	101	106	27	14	90	60	24	73	93	117	96	70	93	33	22	96	33	96	73	89	96	30	83	92	70	18	20	20	106	97	73	83	73	94	83	24	85	24	99	23	38	73	77	83	96	97	23	23	117	20	20	34	78	105	65	30	14	99	63	77	86	83	22	100	96	100	96	34	27	33	61	71	83	97	70	96	33	90	21	83	30	109	77	98	21	27	64	83	64	15	96	19	73	101	77	75	33	100	60	99	33	96	73	71	18	83	64	22	0	100	98	23	22	75	37	106	0	0	98	21	24	18	73	20	70	20	70	83	89	24	27	39	75	22	117	27	23	0	75	94	86	83	20	118	33	22	73	36	73	19	23	96	27	20	96	70	63	24	20	20	65	83	22	83	73	38	37	106	21	77	117	23	96	18	0	96	78	20	83	83	20	100	33	90	20	100	132	20	73	23	99	73	20	117	99	109	0	73	98	90	73	20	73	83	61	20	61	20	23	73	77	96	33	106	99	20	20	100	20	34	73	20	77	73	24	77	44	93	38	78	20	33	33	99	94	41	100	99	37	24	101	0	36	20	20	41	21
ERR3566322	66	104	104	107	99	65	101	23	66	104	107	111	66	66	0	37	70	100	76	96	15	90	104	29	93	76	103	99	87	107	103	104	0	88	97	36	103	87	98	15	41	110	105	104	36	45	104	87	23	91	30	66	23	91	106	30	91	30	87	11	30	88	97	73	66	98	104	104	110	15	87	97	87	28	97	104	97	104	82	99	52	87	107	97	30	23	99	99	91	104	104	98	98	41	73	88	104	90	101	107	98	97	106	0	30	0	30	98	105	91	109	101	97	15	66	30	91	36	103	97	88	77	107	70	105	105	98	97	70	99	30	103	87	33	107	93	91	0	68	90	91	30	87	101	98	97	98	106	100	0	70	99	106	93	101	110	100	100	70	99	104	98	87	104	66	104	66	97	29	104	105	99	97	106	91	105	99	100	93	76	98	97	104	96	91	106	87	93	87	103	99	30	103	104	30	66	101	104	104	104	73	97	106	97	87	88	101	110	103	107	91	99	30	98	100	30	98	104	97	97	104	0	91	112	103	0	66	104	87	99	90	87	104	91	90	77	100	87	70	36	87	104	87	97	109	104	109	104	99	87	107	30	91	110	90	104	104	18	104	98	87	104	107	87	104	107	98	23	88	98	104	91	91	90	76	87	0	82	101	104	41	100	93	104	104	87	105
23IE191_S30_L001	82	106	102	99	99	99	109	67	82	106	99	67	82	82	70	62	84	98	100	70	79	83	106	69	77	100	99	99	83	99	106	106	70	102	71	57	105	83	76	79	65	66	101	106	80	62	102	83	67	65	70	82	68	99	108	70	99	70	83	69	70	100	75	7	82	102	106	106	66	79	83	75	83	69	75	102	71	102	85	99	55	83	99	75	70	73	99	99	65	106	106	98	78	65	87	100	106	83	97	99	76	75	108	70	70	70	70	98	101	99	105	109	75	79	82	70	99	80	105	75	100	63	99	0	107	101	94	75	84	103	70	105	83	75	99	77	99	70	47	83	99	70	83	109	102	75	94	108	98	70	0	99	108	77	107	66	98	98	0	99	102	102	83	106	82	106	82	75	67	102	101	99	79	108	65	101	99	98	77	8	76	75	106	70	99	108	83	93	83	105	99	70	99	106	70	82	97	102	106	106	87	75	108	75	83	102	107	66	105	99	65	99	70	102	98	70	78	106	75	75	106	70	99	96	106	70	113	106	83	99	83	83	106	65	83	63	98	83	0	80	83	106	83	75	105	106	105	106	99	83	99	70	99	66	83	106	106	82	106	98	83	106	99	83	102	99	100	67	102	78	106	99	99	83	8	97	70	85	107	102	65	98	93	106	106	97	107
ERR12861557	73	11	19	78	0	92	72	92	73	11	78	104	73	73	99	102	69	23	79	113	96	96	11	93	70	79	32	0	66	78	11	11	99	34	82	27	12	66	79	96	104	103	34	15	94	67	19	66	92	114	94	73	93	38	13	94	38	94	66	87	94	39	75	94	73	18	11	11	103	96	66	75	66	92	75	19	82	19	94	0	42	66	78	75	94	98	0	0	114	11	11	24	77	102	68	39	15	96	60	78	79	75	13	99	94	99	94	24	34	38	56	72	75	96	73	94	38	94	12	75	39	105	78	99	12	34	63	75	69	15	94	12	66	102	78	70	38	99	53	96	38	95	66	72	18	75	63	13	23	99	99	0	13	70	24	103	23	23	99	22	19	18	66	11	73	11	73	75	88	19	34	29	67	13	114	34	0	23	70	97	79	75	11	113	38	13	66	36	66	12	0	94	32	11	94	73	60	19	11	11	68	75	13	75	66	34	24	103	12	78	114	0	94	18	23	94	77	11	75	75	11	99	38	89	11	99	134	11	66	0	96	66	11	114	96	105	23	66	99	94	66	11	66	75	56	11	56	11	0	66	78	94	38	103	96	11	11	99	11	24	66	11	78	66	19	78	27	92	34	77	11	38	38	96	97	38	99	94	24	19	104	23	36	11	11	38	12
23IE199_S38_L001	76	2	14	73	13	87	73	97	76	2	73	109	76	76	106	104	68	22	78	122	101	99	2	96	77	78	25	13	69	73	2	2	106	31	87	24	3	69	90	101	105	108	27	12	91	63	14	69	97	121	97	76	98	29	0	97	29	97	69	92	97	30	84	103	76	15	2	2	108	101	69	84	69	95	84	14	87	14	97	13	41	69	73	84	97	101	13	13	121	2	2	29	78	109	67	30	12	99	53	73	90	84	2	106	97	106	97	29	27	29	53	73	84	101	76	97	29	91	3	84	30	112	73	108	1	27	66	84	68	14	97	3	69	111	73	77	29	106	61	99	29	98	69	73	15	84	66	2	22	106	108	13	0	77	25	108	22	22	108	19	14	15	69	2	76	2	76	84	90	14	27	34	76	2	121	27	13	22	77	106	90	84	2	122	29	0	69	33	69	3	13	97	25	2	97	76	53	14	2	2	67	84	0	84	69	31	25	108	3	73	121	13	97	15	22	97	78	2	84	84	2	106	29	90	2	106	143	2	69	13	99	69	2	121	99	112	22	69	108	91	69	2	69	84	53	2	53	2	13	69	73	97	29	108	99	2	2	104	2	29	69	2	73	69	14	73	34	97	31	78	2	29	29	99	106	31	106	97	25	14	105	22	33	2	2	31	1
ERR12861487	87	77	69	86	70	92	97	84	87	77	86	90	87	87	93	83	83	75	87	81	90	77	77	81	0	87	73	70	60	86	77	77	93	67	60	49	76	60	49	90	84	89	75	77	93	60	69	60	84	60	81	87	84	76	77	81	76	81	60	80	81	69	18	77	87	73	77	77	89	90	60	18	60	80	18	69	60	69	77	70	50	60	86	18	81	94	70	70	60	77	77	65	61	84	88	69	77	77	76	86	49	18	77	93	81	93	81	65	75	76	78	97	18	90	87	81	76	93	76	18	69	94	86	77	76	75	75	18	83	78	81	76	60	92	86	0	76	93	43	77	76	81	60	97	73	18	75	77	75	93	77	70	77	0	78	89	75	75	77	74	69	73	60	77	87	77	87	18	76	69	75	58	22	77	60	75	70	75	0	80	49	18	77	81	76	77	60	69	60	76	70	81	73	77	81	87	76	69	77	77	88	18	77	18	60	67	78	89	76	86	60	70	81	73	75	81	61	77	18	18	77	93	76	79	77	93	125	77	60	70	77	60	77	60	77	94	75	60	77	93	60	77	60	18	78	77	78	77	70	60	86	81	76	89	77	77	77	93	77	65	60	77	86	60	69	86	53	84	67	61	77	76	76	77	79	64	93	77	78	69	84	75	69	77	77	64	76
ERR12861671	67	23	27	88	24	88	78	94	67	23	88	102	67	67	101	96	67	37	77	113	98	99	23	91	78	77	38	24	70	88	23	23	101	46	78	33	24	70	83	98	98	101	40	29	92	63	27	70	94	110	92	67	95	48	25	92	48	92	70	89	92	43	81	102	67	28	23	23	101	98	70	81	70	90	81	27	78	27	97	24	42	70	88	81	92	100	24	24	110	23	23	42	87	106	66	43	29	99	60	88	83	81	25	101	92	101	92	42	40	48	64	78	81	98	67	92	48	92	24	81	43	109	88	107	24	40	65	81	67	29	92	24	70	100	88	78	48	101	60	99	48	93	70	78	28	81	65	25	37	101	107	24	25	78	0	101	37	37	107	32	27	28	70	23	67	23	67	81	85	27	40	43	73	25	110	40	24	37	78	105	83	81	23	113	48	25	70	38	70	24	24	92	38	23	92	67	60	27	23	23	66	81	25	81	70	46	0	101	24	88	110	24	92	28	37	92	87	23	81	81	23	101	48	91	23	101	133	23	70	24	99	70	23	110	99	109	37	70	107	92	70	23	70	81	64	23	64	23	24	70	88	92	48	101	99	23	23	101	23	42	70	23	88	70	27	88	41	94	46	87	23	48	48	99	105	44	101	97	0	27	98	37	38	23	23	44	24
ERR4022306	98	106	98	97	103	111	109	99	98	106	97	0	98	98	110	87	98	106	112	80	103	89	106	96	89	112	103	103	95	97	106	106	110	101	73	71	105	95	72	103	87	0	107	110	101	77	98	95	99	75	97	98	100	103	108	97	103	97	95	95	97	102	82	61	98	107	106	106	0	103	95	82	95	96	82	98	73	98	97	103	68	95	97	82	97	109	103	103	75	106	106	109	80	97	99	102	110	89	93	97	72	82	108	110	97	110	97	109	107	103	97	109	82	103	98	97	103	101	107	82	102	64	97	66	107	107	86	82	98	108	97	105	95	104	97	89	103	110	54	89	103	98	95	109	107	82	86	108	106	110	66	103	108	89	101	0	106	106	66	103	98	107	95	106	98	106	98	82	92	98	107	102	82	108	75	107	103	106	89	62	72	82	106	80	103	108	95	105	95	105	103	97	103	106	97	98	93	98	106	106	99	82	108	82	95	101	101	0	107	97	75	103	97	107	106	97	80	106	82	82	106	110	103	100	106	110	144	106	95	103	89	95	106	75	89	64	106	95	66	101	95	106	95	82	97	106	97	106	103	95	97	97	103	0	89	106	106	106	106	109	95	106	97	95	98	97	94	99	101	80	106	103	103	89	62	99	110	97	101	98	87	106	105	106	106	99	107
ERR3468976	70	20	24	77	23	85	71	93	70	20	77	107	70	70	100	99	64	0	80	118	97	99	20	95	75	80	27	23	73	77	20	20	100	38	85	26	19	73	86	97	101	106	27	14	90	60	24	73	93	117	96	70	93	33	22	96	33	96	73	89	96	30	83	92	70	18	20	20	106	97	73	83	73	94	83	24	85	24	99	23	38	73	77	83	96	97	23	23	117	20	20	34	78	105	65	30	14	99	63	77	86	83	22	100	96	100	96	34	27	33	61	71	83	97	70	96	33	90	21	83	30	109	77	98	21	27	64	83	64	15	96	19	73	101	77	75	33	100	60	99	33	96	73	71	18	83	64	22	0	100	98	23	22	75	37	106	0	0	98	21	24	18	73	20	70	20	70	83	89	24	27	39	75	22	117	27	23	0	75	94	86	83	20	118	33	22	73	36	73	19	23	96	27	20	96	70	63	24	20	20	65	83	22	83	73	38	37	106	21	77	117	23	96	18	0	96	78	20	83	83	20	100	33	90	20	100	132	20	73	23	99	73	20	117	99	109	0	73	98	90	73	20	73	83	61	20	61	20	23	73	77	96	33	106	99	20	20	100	20	34	73	20	77	73	24	77	44	93	38	78	20	33	33	99	94	41	100	99	37	24	101	0	36	20	20	41	21
ERR3468826	70	20	24	77	23	85	71	93	70	20	77	107	70	70	100	99	64	0	80	118	97	99	20	95	75	80	27	23	73	77	20	20	100	38	85	26	19	73	86	97	101	106	27	14	90	60	24	73	93	117	96	70	93	33	22	96	33	96	73	89	96	30	83	92	70	18	20	20	106	97	73	83	73	94	83	24	85	24	99	23	38	73	77	83	96	97	23	23	117	20	20	34	78	105	65	30	14	99	63	77	86	83	22	100	96	100	96	34	27	33	61	71	83	97	70	96	33	90	21	83	30	109	77	98	21	27	64	83	64	15	96	19	73	101	77	75	33	100	60	99	33	96	73	71	18	83	64	22	0	100	98	23	22	75	37	106	0	0	98	21	24	18	73	20	70	20	70	83	89	24	27	39	75	22	117	27	23	0	75	94	86	83	20	118	33	22	73	36	73	19	23	96	27	20	96	70	63	24	20	20	65	83	22	83	73	38	37	106	21	77	117	23	96	18	0	96	78	20	83	83	20	100	33	90	20	100	132	20	73	23	99	73	20	117	99	109	0	73	98	90	73	20	73	83	61	20	61	20	23	73	77	96	33	106	99	20	20	100	20	34	73	20	77	73	24	77	44	93	38	78	20	33	33	99	94	41	100	99	37	24	101	0	36	20	20	41	21
23IE178_S17_L001	82	106	102	99	99	99	109	67	82	106	99	67	82	82	70	62	84	98	100	70	79	83	106	69	77	100	99	99	83	99	106	106	70	102	71	57	105	83	76	79	65	66	101	106	80	62	102	83	67	65	70	82	68	99	108	70	99	70	83	69	70	100	75	7	82	102	106	106	66	79	83	75	83	69	75	102	71	102	85	99	55	83	99	75	70	73	99	99	65	106	106	98	78	65	87	100	106	83	97	99	76	75	108	70	70	70	70	98	101	99	105	109	75	79	82	70	99	80	105	75	100	63	99	0	107	101	94	75	84	103	70	105	83	75	99	77	99	70	47	83	99	70	83	109	102	75	94	108	98	70	0	99	108	77	107	66	98	98	0	99	102	102	83	106	82	106	82	75	67	102	101	99	79	108	65	101	99	98	77	8	76	75	106	70	99	108	83	93	83	105	99	70	99	106	70	82	97	102	106	106	87	75	108	75	83	102	107	66	105	99	65	99	70	102	98	70	78	106	75	75	106	70	99	96	106	70	113	106	83	99	83	83	106	65	83	63	98	83	0	80	83	106	83	75	105	106	105	106	99	83	99	70	99	66	83	106	106	82	106	98	83	106	99	83	102	99	100	67	102	78	106	99	99	83	8	97	70	85	107	102	65	98	93	106	106	97	107
